Package |	License	|Source of License Information|	Comments|	License/Copyright Links/References
libgraphite2-3 |	Apache-2.0	|WICC4D|	part of graphite|	NA
libgs9 |	 BSD-3-Clause,MIT,Zlib	|WICC4D CLI|	NA|	NA
libgs9-common |	 BSD-3-Clause,MIT,Zlib	|WICC4D CLI|	NA|	NA
libgtk2.0-0 |	 GPL-2.0	|WICC4D CLI|	NA|	NA
libgtk2.0-common |	 GPL-2.0	|WICC4D CLI|	NA|	NA
libharfbuzz0b |	MITÂ 	|WICC4D|	part of HarfBuzz|	NA
libharfbuzz-icu0 |	MIT-Equivalent	|WICC4D|	Part of harfbuzz|	http://changelogs.ubuntu.com/changelogs/pool/main/h/harfbuzz/harfbuzz_1.0.1-1ubuntu0.1/copyright
libice-dev |	MIT	|WICC4D |	part of libice|	NA
libicu52 |	Unicode	|WICC4D|	NA|	Part of: icu
libicu55 |	Unicode	|WICC4D|	part of icu|	NA
libijs-0.35 |	 MIT,Public Domain	|WICC4D CLI|	NA|	NA
libisl10 |	BSD-2-Clause,MIT	|WICC4D|	NA|	NA
libisl15 |	MIT, BSD-2-clause, LGPL-2.1+	|ubuntu.com|	Most of the source code is licensed under the MIT license. However, there are some exceptions. Example: Files: interface/python.* are licensed under BSD-2-Clause,     Files: isl_qsort.c and debian/* under LGPL-2.1+|	http://changelogs.ubuntu.com/changelogs/pool/main/i/isl/isl_0.16.1-1/copyright
libitm1 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
libjbig2dec0 |	 AGPL-3.0,BSD-2-Clause	|WICC4D CLI|	NA|	NA
libjs-jquery |	 BSD-3-Clause,MIT	|WICC4D CLI|	NA|	NA
libjs-jquery-ui |	 MIT	|WICC4D CLI|	NA|	NA
libkpathsea6 |	     LaTeX Project Public License, GPL-2	|NA|	part of texlive|	LaTeX Project Public License
liblapack3 |	 BSD-3-Clause	|WICC4D CLI|	NA|	NA
liblcms2-dev |	 MIT	|WICC4D CLI|	NA|	NA
liblqr-1-0-dev |	GPL-3	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libl/liblqr/liblqr_0.4.2-2/copyright
libltdl7 |	GPL-2	|WICC4D|	part of libtool|	NA
libltdl-dev |	GPL-2.0	|WICC4D|	NA|	Part of: libtool
libmagic1 |	 BSD-3-Clause	|WICC4D CLI|	NA|	NA
libmpc3 |	LGPL-2.1	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/m/mpclib3/mpclib3_1.0.3-1/copyright
libmpfr4 |	LGPL-3	|WICC4D|	part of mpfr|	NA
libncurses5-dev |	MIT	|WICC4D|	part of ncurses|	NA
libnfnetlink0 |	GPL-2.0	|WICC4D|	NA|	Part of: libnfnetlink
libnfnetlink-dev |	GPL-2.0	|WICC4D|	NA|	Part of: libnfnetlink
libnl-3-200 |	GPL-2.0	|WICC4D|	NA|	Part of: libnl3
libpango-1.0-0 |	LGPL-2	|WICC4D|	part of pango |	NA
libpangocairo-1.0-0 |	LGPL-2	|WICC4D|	part of pango |	NA
libpangoft2-1.0-0 |	LGPL-2	|WICC4D|	part of pango |	NA
libpaper1 |	GPL-2.0	|WICC4D|	part pf libpaper|	NA
libpaper-utils |	GPL-2.0	|WICC4D|	part pf libpaper|	NA
libpciaccess0 |	 MIT	|WICC4D|	NA|	NA
libpciaccess-dev |	 MIT	|WICC4D|	NA|	NA
libpixman-1-0 |	MIT	|WICC4D|	part of pixman |	NA
libpixman-1-dev |	 MIT	|WICC4D CLI|	NA|	NA
